Day,Close,Open,Range,MA-20,MA-50,Lag
0,0.3291252851486206,0.3170044637776016,0.013985448211735,0.3033688396215439,0.2849592405557632,0.318869024515152
1,0.327260673046112,0.3291252749320693,0.0065261439461675,0.3056531116366386,0.2858170121908187,0.3291252851486206
2,0.3244636058807373,0.326328206893837,0.0102553678142142,0.3076110810041427,0.2870850300788879,0.327260673046112
3,0.3235313594341278,0.322599046287489,0.0074584304824952,0.3096622839570045,0.2883344030380249,0.3244636058807373
4,0.3192859590053558,0.3216240429552978,0.0065450921656015,0.3113613709807395,0.2894615769386291,0.3235313594341278
5,0.3192859590053558,0.3216240429552978,0.0065450921656015,0.3113613709807395,0.2894615769386291,0.3235313594341278
6,0.3192859590053558,0.3216240429552978,0.0065450921656015,0.3113613709807395,0.2894615769386291,0.3235313594341278
7,0.3192859590053558,0.3216240429552978,0.0065450921656015,0.3113613709807395,0.2894615769386291,0.3235313594341278
8,0.3141438364982605,0.3188183035121691,0.0102846562987792,0.3128033518791199,0.2905045533180236,0.3192859590053558
9,0.3108717799186706,0.3150788112369035,0.0084148865116638,0.3141283363103866,0.2914634436368942,0.3141438364982605
10,0.3155462443828583,0.3132090103368737,0.005609341737631,0.3156870439648628,0.2923666387796401,0.3108717799186706
11,0.3150789439678192,0.3132091459351701,0.0065442431824206,0.3170825421810149,0.2929901021718978,0.3155462443828583
12,0.3150789439678192,0.3132091459351701,0.0065442431824206,0.3170825421810149,0.2929901021718978,0.3155462443828583
13,0.3150789439678192,0.3132091459351701,0.0065442431824206,0.3170825421810149,0.2929901021718978,0.3155462443828583
14,0.325363427400589,0.3169485419913897,0.0102846574432921,0.318852424621582,0.2939591187238692,0.3150789439678192
15,0.329103022813797,0.3262983518421309,0.0065442405891926,0.3202032476663589,0.2949096745252609,0.325363427400589
16,0.3225587010383606,0.3300378383909562,0.0074791373525955,0.320947116613388,0.2958132719993591,0.329103022813797
17,0.3211564719676971,0.3244286050022986,0.0093497611364775,0.321550953388214,0.2971083790063857,0.3225587010383606
18,0.325363427400589,0.3262983009346795,0.0046744675340998,0.3225283250212669,0.2984876251220703,0.3211564719676971
19,0.325363427400589,0.3262983009346795,0.0046744675340998,0.3225283250212669,0.2984876251220703,0.3211564719676971
20,0.325363427400589,0.3262983009346795,0.0046744675340998,0.3225283250212669,0.2984876251220703,0.3211564719676971
21,0.3303889632225036,0.3291030437199721,0.0046744435944142,0.322777971625328,0.2998182123899459,0.325363427400589
