epoch,loss,val_loss
0,4.635406003217213e-05,0.01141583826392889
1,2.4708591809030622e-05,0.00452491594478488
2,1.988842814171221e-05,0.0019384860061109066
3,1.8517792341299355e-05,0.0018531790701672435
4,2.169369690818712e-05,0.0023904552217572927
5,1.845918632170651e-05,0.002386086853221059
6,1.8563931007520296e-05,0.0024078339338302612
7,1.6606391000095755e-05,0.0018948044162243605
8,1.4840725270914845e-05,0.0022724024020135403
9,1.7803078662836924e-05,0.0022906719241291285
10,1.6892880012164824e-05,0.0026870970614254475
11,1.537623757030815e-05,0.0023211443331092596
12,1.333033105765935e-05,0.0025067885871976614
13,9.338767085864674e-06,0.002161574549973011
